County,hispanic_2013,black_2013,white_2013,other_2013,Total_2013,hispanic_2014,black_2014,white_2014,other_2014,Total_2014,hispanic_2015,black_2015,white_2015,other_2015,Total_2015,hispanic_2016,black_2016,white_2016,other_2016,Total_2016,hispanic_2017,black_2017,white_2017,other_2017,Total_2017
Harnett,17.15559038,25.07468534,51.08477399,6.684950291,20419,18.095144,24.4528973,49.79993084,7.652027861,20243,18.85893848,24.76555212,49.21196052,7.163548878,20367,19.22309302,24.47549043,48.60049652,7.700920021,20543,20.66292956,24.49427248,46.84377285,7.999025107,20515
Haywood,6.542800265,0.98208361,89.10418049,3.370935634,7535,6.834387192,1.143549038,88.56450962,3.45755415,7433,7.616208158,1.097709717,87.96584903,3.320233094,7379,7.988289419,1.031646452,87.53659557,3.443468563,7173,8.296275709,1.278488049,86.40911618,4.016120066,7196
Henderson,19.70684039,3.679301155,71.1578324,5.456026059,13508,20.22646536,3.863232682,70.51509769,5.395204263,13512,21.8947828,3.73280943,68.84231973,5.530088045,13743,23.24426924,4.102788728,66.84187473,5.811067309,13698,24.28994083,4.045857988,65.42159763,6.242603549,13520
Hertford,2.308707124,79.41952507,16.06200528,2.209762533,3032,2.777777778,79.24836601,15.39215686,2.581699346,3060,2.846617549,78.63362358,15.37173476,3.148024113,2986,3.459972863,78.79918589,14.58616011,3.15468114,2948,4.102747057,78.13057438,13.73528362,4.031394934,2803
Hoke,17.26344284,37.09856035,27.34096222,18.29703458,8127,17.81553398,37.0631068,27.63349515,17.48786408,8240,19.31642253,36.12004287,27.7956413,16.7678933,8397,20.7585305,35.69135656,26.70312686,16.84698609,8411,21.92568733,34.66007132,26.02093639,17.39330496,8693
Hyde,15.27531083,27.17584369,54.52930728,3.019538188,563,15.87837838,25,55.23648649,3.885135135,592,17.33102253,23.74350087,55.28596187,3.639514731,577,19.49152542,23.72881356,53.38983051,3.389830508,590,21.23287671,21.23287671,55.65068493,1.883561646,584
Iredell,11.11007157,13.9168265,69.66833513,5.304766805,21377,11.38230799,14.03802063,68.89090562,5.688765762,20936,11.9799379,14.16288512,68.26844996,5.588727012,20935,12.35597551,14.40485947,67.33837921,5.900785807,20743,13.36856528,14.24447054,65.76629477,6.620669404,20436
Jackson,9.255141745,1.278488049,77.20956087,12.25680934,3598,10.44329617,1.169431602,75.98585804,12.4014142,3677,11.82650862,1.535560345,74.91918103,11.71875,3712,12.56713212,1.530612245,73.79162191,12.11063373,3724,14.83486735,1.353546291,71.73795344,12.07363292,3694
Johnston,19.69365427,16.03369204,59.84233087,4.430322832,33361,20.34883721,15.94853028,59.18427576,4.518356747,33884,21.38384927,15.75176913,58.54567693,4.31870468,34339,22.03722974,15.9527113,57.66851659,4.341542375,34596,23.66117333,16.18542089,55.51232526,4.641080512,35983
Jones,7.0995671,43.98268398,45.19480519,3.722943723,1155,8.69955157,42.24215247,46.27802691,2.780269058,1115,9.691629956,39.29515419,47.75330396,3.259911894,1135,10.15553522,39.70722781,46.29460201,3.84263495,1093,10.01855288,36.82745826,48.88682746,4.267161406,1078
